Model,Horizon,Mean_Absolute_Calibration_Error,Median_Absolute_Calibration_Error,Mean_Calibration_Error,SD_Calibration_Error
Clinical,1yr,0.010912196070665358,0.008399100624679329,-0.002513260661762051,0.013090188432526729
Clinical,3yr,0.02232622577653777,0.0184736987630591,-0.0009680796673723546,0.027557495400486524
Clinical,5yr,0.025118195696155275,0.021630684753705887,0.006103815611782578,0.03073712182290248
Multimodal,1yr,0.02823278634303631,0.02510888086627011,-0.006535083085315609,0.03339125278814555
Multimodal,3yr,0.03717832531447291,0.0329494943524925,-0.014118577904020586,0.04233000431196377
Multimodal,5yr,0.04950158700753885,0.04712921064589831,-0.023768963753030038,0.05329468413781808
RNA,1yr,0.034213314511152566,0.030029576701356087,-0.002168701643243154,0.043022202834064584
RNA,3yr,0.03329675453922882,0.021653901857667135,-0.006312605455890514,0.043688786154693356
RNA,5yr,0.051953223516488636,0.04130052405003315,-0.015223794184075722,0.06484289323468222
