l1_ratio,alpha,valid_inner_folds,mean_inner_cindex,sd_inner_cindex,Repeat,Outer Fold
1.0,0.0341627802828137,3,0.7862236736819139,0.02627261395447585,1,1
0.9,0.037958644758681895,3,0.7834406782038511,0.026752988912452164,1,1
1.0,0.05192438837633451,3,0.781846144184311,0.033451145515567104,1,1
0.9,0.0576937648625939,3,0.7798285933227035,0.03455898321969574,1,1
1.0,0.0224768281947396,3,0.7775261129678963,0.023915156396392936,1,1
0.9,0.02497425354971067,3,0.773545907326938,0.024723564036721334,1,1
0.5,0.0683255605656274,3,0.7714911629340869,0.029936243414698825,1,1
0.5,0.10384877675266901,3,0.764091642739924,0.03717266708470337,1,1
0.5,0.0449536563894792,3,0.7601344302296921,0.023841733241231327,1,1
1.0,0.014788252054239167,3,0.756104937806051,0.028516058569863164,1,1
0.9,0.016431391171376857,3,0.7530564597891815,0.028187844008970227,1,1
1.0,0.0789204533687433,3,0.7471197566399627,0.037626248148902836,1,1
0.5,0.029576504108478334,3,0.745250725352399,0.0223498769775265,1,1
0.9,0.08768939263193701,3,0.7417996602949147,0.03809562880971705,1,1
1.0,0.009729682361094479,3,0.7385535667849368,0.022305696884449243,1,1
0.9,0.010810758178993869,3,0.7370938725146973,0.022747199372449924,1,1
0.5,0.019459364722188958,3,0.7321588545542489,0.02683246291523356,1,1
0.5,0.1578409067374866,3,0.7309065405887388,0.033508392151091936,1,1
0.5,0.012802962581457501,3,0.7204121235921538,0.01926415735771916,1,1
0.5,0.23990414349364628,3,0.7028359763939213,0.03233905996590331,1,1
0.9,0.13328007971869238,3,0.6993377035988227,0.032307321965192426,1,1
1.0,0.11995207174682314,3,0.698990242373741,0.03099124972831027,1,1
1.0,0.006401481290728751,3,0.6689566585574065,0.04869109483060441,1,1
0.5,0.3646329665423239,3,0.668716296540656,0.0428419214445597,1,1
0.9,0.20257387030129106,3,0.668716296540656,0.0428419214445597,1,1
1.0,0.18231648327116196,3,0.668716296540656,0.0428419214445597,1,1
1.0,0.001823164832711619,3,0.6435391441835567,0.07870145314925,1,1
1.0,0.002771048435288421,3,0.6236264702383413,0.06314422578890226,1,1
0.9,0.0046797191424380645,3,0.5855628971778458,0.08632065093386801,1,1
1.0,0.047314308163640934,3,0.8045345798831676,0.02279623186050546,1,2
0.9,0.052571453515156595,3,0.8036672814925518,0.023824168753298913,1,2
1.0,0.07191354136016832,3,0.7992641031467796,0.04084367898481948,1,2
1.0,0.031129655342546175,3,0.7962682174766958,0.007907531434806775,1,2
0.9,0.07990393484463147,3,0.7957737119237523,0.04268453260346882,1,2
0.9,0.03458850593616242,3,0.7949916921123238,0.008011582885074281,1,2
1.0,0.020481234522000093,3,0.7944289554250633,0.013046256395425983,1,2
0.9,0.02275692724666677,3,0.7933847864227964,0.014273775015261315,1,2
0.5,0.06225931068509235,3,0.7919067865158437,0.02031900942393055,1,2
0.5,0.04096246904400019,3,0.7894997233973178,0.017152251462384416,1,2
0.5,0.09462861632728187,3,0.787150571566802,0.04542675187397277,1,2
0.9,0.014972538526697138,3,0.7845232679906872,0.0299818093511622,1,2
1.0,0.013475284674027425,3,0.7819959508580082,0.03212668906005406,1,2
0.5,0.02695056934805485,3,0.7819794419094565,0.02504881737706519,1,2
0.5,0.017731674997523136,3,0.7627334425700418,0.03330699045753781,1,2
0.9,0.009850930554179519,3,0.7575199397254769,0.045588336318096175,1,2
0.5,0.14382708272033665,3,0.7563461418637388,0.068795460315688,1,2
1.0,0.10930218852771403,3,0.6787271449103008,0.09777929118501719,1,2
0.9,0.12144687614190448,3,0.6722948174306995,0.08950720346974415,1,2
0.5,0.21860437705542807,3,0.6583901671678821,0.06873561406568632,1,2
1.0,0.00252502232001961,3,0.5420169349910419,0.07939042861684188,1,2
1.0,0.05235939833485473,3,0.7952180541165156,0.017167944006480605,1,3
1.0,0.03444898778758107,3,0.7930065262022968,0.01489812290967505,1,3
0.9,0.0581771092609497,3,0.7918048843668446,0.017223380572869335,1,3
0.9,0.0382766530973123,3,0.7917950690349924,0.016069574031748593,1,3
1.0,0.02266513362127239,3,0.7836443694216711,0.02881568093050097,1,3
0.9,0.025183481801413766,3,0.7817601945364882,0.03012569252888472,1,3
0.5,0.06889797557516214,3,0.7739038713055558,0.02184164603948531,1,3
0.5,0.04533026724254478,3,0.7722212931460657,0.027110447462962404,1,3
1.0,0.07958162982589309,3,0.7696300483576337,0.020537888761285858,1,3
1.0,0.014912144450738405,3,0.7662910206456174,0.028930127571010985,1,3
0.9,0.016569049389709337,3,0.7649143927818933,0.031067492028348714,1,3
0.5,0.10471879666970946,3,0.7633627292288843,0.023525550016084185,1,3
0.9,0.0884240331398812,3,0.7620865129263331,0.02022458389165385,1,3
0.5,0.02982428890147681,3,0.7605028657713402,0.02561587583430085,1,3
0.5,0.019622390570067556,3,0.7461553350699499,0.018743463372723406,1,3
0.9,0.010901328094481973,3,0.7444350409020779,0.01819157382264502,1,3
1.0,0.009811195285033778,3,0.7442500713749479,0.017747722684169787,1,3
0.5,0.0129102227032548,3,0.733283107896863,0.01693236662399008,1,3
