Model,Repeats,Significant_Repeats,Mean_Logrank_Chi2,SD_Logrank_Chi2,Median_Logrank_Chi2,Median_p_value,Mean_High_Risk_Events,Mean_Low_Risk_Events
Clinical,10,10,76.24213572043206,6.424149328093598,75.00578891151886,5.508130912197922e-18,124.4,34.6
Multimodal,10,10,97.2944069629155,10.237525826255357,99.89069327112743,3.154286151087314e-23,129.7,29.3
RNA,10,10,64.94887478873083,4.5859291643258056,65.3182928267232,6.633882305852254e-16,121.2,37.8
