Repeat,Fold,Clinical_BS_1yr,Clinical_BS_3yr,Clinical_BS_5yr,Clinical_IBS,RNA_BS_1yr,RNA_BS_3yr,RNA_BS_5yr,RNA_IBS,Multi_BS_1yr,Multi_BS_3yr,Multi_BS_5yr,Multi_IBS
1,1,0.07692489308144533,0.13675163373842467,0.16827449625364632,0.1240666186416908,0.11990570256849978,0.18834080171232515,0.20947490710520503,0.18107421422887257,0.10144503408450241,0.1566680415817165,0.1491364726698672,0.13890709534496684
1,2,0.11254073555770315,0.17945619093347406,0.18134946763199175,0.171081103713969,0.1190768634387068,0.18515643678245472,0.19181367529903834,0.17555843592175296,0.11424899167555412,0.17347943128336268,0.1867767456270737,0.1684762431619495
1,3,0.0768983731471307,0.10254002819874342,0.15049357320144183,0.107371735271019,0.11213680914881521,0.15925830488372095,0.21821961280693136,0.1602153106620718,0.08972917817886705,0.1283679852484092,0.1861789336869401,0.1316413040909347
1,4,0.08306634608724006,0.12051111886603173,0.1443279489890632,0.1216464077280914,0.12336570790934323,0.15707245968871208,0.18264527827053548,0.15986502590242593,0.10412420447212202,0.12651046815504363,0.1578325212381456,0.13285235384629318
1,5,0.11279781020273529,0.12340242061299832,0.13720057282281287,0.1232805725173177,0.15515658101277247,0.17762557078621571,0.1491360664841865,0.17366032262361433,0.125026235470685,0.13413713904015165,0.16198753567716676,0.13561086016274942
2,1,0.093979904288163,0.11329571505042123,0.19424383082378363,0.11756939873427555,0.13296193463362932,0.1679117272636364,0.20514992309264657,0.16615929928382633,0.10538480562903865,0.13855927830181577,0.22285299283392263,0.14382970881646293
2,2,0.07338287451556642,0.12502745259990994,0.15481934859975008,0.13115043890019426,0.10721356255129226,0.14825727996929208,0.1626397854991146,0.15214150532849094,0.08384110287218167,0.1261534144907606,0.13923919238483956,0.13001410676278916
2,3,0.07950019734838548,0.14471983491133192,0.16477364565545405,0.13183840765194788,0.11033658218575848,0.16516888329062246,0.1692214273030587,0.15948436688642395,0.08156948067161217,0.12274263030348878,0.13229912791392354,0.11544436446399098
2,4,0.10602282757848548,0.18776951932506736,0.17109802953250988,0.16449667667139872,0.13306271244816353,0.2178431337275858,0.21166730593374633,0.19394266180764475,0.1257220303819474,0.1939413267349542,0.17292388671734793,0.16808248244748672
2,5,0.1141697865576579,0.11460186381941417,0.1157595795888827,0.11922187174525091,0.13763389187328864,0.16929185960461715,0.20671087204431715,0.17170809496689637,0.11100320706079701,0.1181949359310783,0.13566742867441647,0.1259986422790248
3,1,0.1033566104508781,0.10703946143332749,0.11490586912408489,0.10179121624001997,0.16947816504116217,0.17626448692379498,0.16420476346133553,0.17250567056767088,0.14226900262923423,0.14109722074263972,0.13747582915174128,0.13790263275846748
3,2,0.08877661532998131,0.13067561921699988,0.15753276001808095,0.12163349905224992,0.1083909503188625,0.16898430991614388,0.1979044239360864,0.16276087210214704,0.1021570926642643,0.1518641092138888,0.1701857162825765,0.14555265687027721
3,3,0.07404934959122003,0.1245110127281256,0.16424942325341968,0.12575040188725067,0.11273115086344088,0.16207356919010377,0.20368288244535018,0.16545976511244517,0.08915788374280256,0.13761537264622087,0.1779365382879976,0.13265694757801372
3,4,0.08790184393953036,0.12974489366362965,0.11935392741407862,0.1270444162432781,0.12187687091037985,0.1651843860454784,0.18712709415334822,0.16926975966777502,0.09696498879161553,0.1345618416901578,0.14767010625855345,0.1395169396587537
3,5,0.12028321131007111,0.1727781472482712,0.21571927403914237,0.17069512885183724,0.12306540558489822,0.19469969084757913,0.20181253056190676,0.1781746289025598,0.12515932665260912,0.17856585271664027,0.21327364301379462,0.17085325622741487
4,1,0.08366550268183695,0.13184223102741915,0.11613427685590852,0.11307934568465734,0.14671973716870884,0.20378428993621156,0.187017152291667,0.18798562076295788,0.12250559152669743,0.17350765168979637,0.13901917189153976,0.15117772369626795
4,2,0.09629188838952618,0.14419405721635442,0.1275489469270504,0.13022607013599158,0.10733976928424806,0.1788482656498566,0.1798956531115911,0.16665030696803296,0.09346704335392828,0.14733749918656808,0.1375902343345111,0.13247025960167735
4,3,0.10137688621404985,0.159046248530711,0.2608909194341512,0.17435578165435553,0.12464524433338672,0.16934519449706073,0.1968604155027573,0.16865952145432087,0.10509562202114696,0.1675072794298063,0.2566829617443566,0.17459011902750296
4,4,0.08266022181840052,0.13535360994035472,0.16852488953106445,0.13757824593864917,0.10478561865039834,0.14475959544626743,0.16934563577443298,0.14905448917252964,0.11226611173318479,0.1476858786769492,0.16808252056370723,0.15653901444039936
4,5,0.10075082622324155,0.10051255928005348,0.12671553704706476,0.10164713886183308,0.14671441008758668,0.1713390412071042,0.2038334455735756,0.17043134362969467,0.11766562098990897,0.11929885847679492,0.14502368896501971,0.1213478285691907
5,1,0.1046344237300559,0.08916594390209849,0.14194545276789294,0.10856835547044098,0.14204972188206344,0.15474298369948883,0.20169472586772633,0.16598279461876878,0.11159039835497522,0.1094499488522757,0.16498368647431172,0.12350126589641887
5,2,0.07818903652732281,0.10152157601435666,0.1491004684455033,0.10853957585306037,0.13201216532485113,0.16470003484603538,0.18806186275456335,0.16487576428636597,0.08925367381568856,0.12559921827221135,0.15787477970849503,0.1278567843009959
5,3,0.11188861839276451,0.12582520318784934,0.12408578554336032,0.11257269238146904,0.16053978976455183,0.19713510321795288,0.1799040699572258,0.18577167987300897,0.1311415531392003,0.14222247858551815,0.12373481435226628,0.13031450396614994
5,4,0.07973372632305617,0.1782675573109332,0.19671433026596846,0.15515572101983682,0.10859114203212696,0.19265249137368415,0.2054640454774329,0.17978141393001124,0.0891881056545548,0.17585360145606144,0.20300639219538869,0.1581227396519859
5,5,0.10391780344103377,0.18065394594766632,0.18595648004869145,0.17502690932514592,0.10835941957749422,0.18898767195615335,0.1981463039685722,0.17619652067912567,0.1032056661412593,0.15926655815050172,0.16384293831308602,0.15567941992820758
6,1,0.1084754646505825,0.12092232945064069,0.10521935158082939,0.1164399136923667,0.14063917791430428,0.15756205372827772,0.14788823265487094,0.15850347038241658,0.12759992703105796,0.13954248711799064,0.1292082936510511,0.13791533317136154
6,2,0.0921722198203712,0.15252554930511308,0.19949618805872485,0.14612439092710663,0.1075435048704974,0.15697075204958186,0.18654910311890613,0.15792734175269801,0.09078781119892534,0.13858709295662827,0.18063754009497707,0.13638732761415892
6,3,0.08179432376334508,0.1466478386789479,0.18323908560615207,0.13855733134701856,0.10884095192767536,0.18753647633109172,0.20993867389924958,0.18000909852140948,0.09309764345020506,0.1565953877686281,0.17890614379246286,0.14957447632550003
6,4,0.10305463511091231,0.1375765670388463,0.1538304853332746,0.1404404432526192,0.1414091326198551,0.14990542574306495,0.18004028390715657,0.1574941609624682,0.10652269080121546,0.13482671522055167,0.1796702931440628,0.1435843899055434
6,5,0.07970140625604064,0.11190037580207547,0.13132399493610214,0.10777949822397553,0.12593905637186284,0.1811790947808544,0.18618637688009293,0.16778554303972656,0.08410745761484736,0.11580191142445978,0.138493312825728,0.1103234197611201
7,1,0.093480369208189,0.13055782486772394,0.14367985434493744,0.1273179275632344,0.13273556891804333,0.15373310913493657,0.18724791827787438,0.1550083938177492,0.10540518025757854,0.13625514290687873,0.1495766664126157,0.13227026702417005
7,2,0.10734120164639996,0.13757223023269943,0.15838395790318183,0.14304845609775454,0.15069266403440826,0.17162481030238436,0.1726264659406188,0.17071109681309243,0.11289084682698758,0.14231687591768205,0.1822120717357159,0.14837574983845384
7,3,0.07961357728705348,0.11734050244006348,0.16533036024211137,0.11029564948664075,0.1196586716207936,0.1900568707305258,0.22973516873512306,0.18203583638815624,0.09442967917556974,0.14330435203217698,0.17498445918844102,0.13266343840817865
7,4,0.07074032787671085,0.11948090737170783,0.13020363072695193,0.11098663943377873,0.10063817050269924,0.19405153774336678,0.18967589308572966,0.18301925370160296,0.07633951160668172,0.13135232955689058,0.13950455346537308,0.12570492206328662
7,5,0.11508546538298305,0.16623512267511636,0.18062446372492794,0.1605017142602602,0.13686136585415778,0.17672845559742326,0.20684733467403238,0.17182015334407963,0.1221908356527705,0.16010981758327913,0.17855464487139683,0.15610872226971234
8,1,0.08464072912016282,0.14128089718035333,0.12198892494069048,0.12545160196393212,0.12756667921635478,0.1810742473982486,0.1654904407511887,0.16606030927855125,0.10556622262365845,0.15650153425930174,0.13171014189718197,0.13824412765715224
8,2,0.08683188698658754,0.12417124805527793,0.15502286465904175,0.1211900459526755,0.10672934275444242,0.18235054299991396,0.21062224750597192,0.17819605953143758,0.08338584616268487,0.12812958797146348,0.1670794714466123,0.1275117430286856
8,3,0.12033385814274479,0.14349823335560474,0.1624751357220519,0.14900171089019446,0.14215611969759748,0.16655424598709695,0.1965749364866639,0.1723036344647063,0.12623811676207583,0.14364004120569607,0.16518528219809628,0.14966288026951455
8,4,0.09531192535794149,0.12065111274204218,0.1675210763765799,0.12270753896388498,0.13541032050367377,0.17369637816242411,0.19215321792083453,0.16741920709930155,0.10700119937461602,0.12640024607255856,0.1511995310093638,0.12412806782557145
8,5,0.08136390258949198,0.14404745533611973,0.17822138588889888,0.1399809443610612,0.10804611593310808,0.18194112035613375,0.22753136452572156,0.1755727031266774,0.09636130435239108,0.1567626061212833,0.19700637242032276,0.1499163287812109
9,1,0.07895272710789654,0.1131666320771395,0.12114999429045357,0.11037245789846162,0.11535172600112019,0.17888717012520158,0.1995293392601362,0.1653647867469493,0.09601228834861025,0.14191619522481705,0.1666792515504136,0.13414982985116317
9,2,0.09290143191321361,0.13457785942880923,0.1642692293918302,0.13337940407351392,0.13157080532364876,0.17215733650100343,0.1793699627067084,0.16950378104441366,0.11257622624161766,0.13457827533172292,0.15356456812923758,0.1369716336635379
9,3,0.10869922225456706,0.16091427466032682,0.1944821450828677,0.15475950429695756,0.11929389720538681,0.1686347725557163,0.1920917041169546,0.16990875046680723,0.09509505103546503,0.14421478925225836,0.1750766317281672,0.14112916759760064
9,4,0.09371020195738704,0.13744089472156273,0.14464048546309197,0.12565018746698103,0.12510184931185242,0.16388785825986923,0.2083022861125747,0.16794467833278295,0.11282542780212926,0.16013739103106273,0.17240766190206022,0.15042003976198862
9,5,0.0839879990717492,0.12204079045735855,0.15655011254568224,0.1246187004487746,0.13183391692616742,0.1496094781087801,0.1615495949247466,0.1479875131742714,0.09875194843518781,0.1257139563275298,0.16197089372773668,0.12818979487246082
