Repeat A,Fold A,Repeat B,Fold B,Genes A,Genes B,Shared Genes,Jaccard
1,3,6,5,19,24,10,0.30303030303030304
1,3,7,1,19,29,10,0.2631578947368421
1,3,7,2,19,16,11,0.4583333333333333
1,3,7,3,19,66,10,0.13333333333333333
1,3,7,4,19,33,12,0.3
1,3,7,5,19,31,13,0.35135135135135137
1,3,8,1,19,29,9,0.23076923076923078
1,3,8,2,19,20,10,0.3448275862068966
1,3,8,3,19,13,9,0.391304347826087
1,3,8,4,19,46,13,0.25
1,3,8,5,19,16,10,0.4
1,3,9,1,19,13,10,0.45454545454545453
1,3,9,2,19,30,12,0.32432432432432434
1,3,9,3,19,42,9,0.17307692307692307
1,3,9,4,19,17,8,0.2857142857142857
1,3,9,5,19,30,10,0.2564102564102564
1,3,10,1,19,23,10,0.3125
1,3,10,2,19,19,9,0.3103448275862069
1,3,10,3,19,16,8,0.2962962962962963
1,3,10,4,19,27,14,0.4375
1,3,10,5,19,26,15,0.5
1,4,1,5,11,16,4,0.17391304347826086
1,4,2,1,11,33,7,0.1891891891891892
1,4,2,2,11,19,8,0.36363636363636365
1,4,2,3,11,28,6,0.18181818181818182
1,4,2,4,11,32,7,0.19444444444444445
1,4,2,5,11,27,5,0.15151515151515152
1,4,3,1,11,36,6,0.14634146341463414
1,4,3,2,11,32,7,0.19444444444444445
1,4,3,3,11,24,6,0.20689655172413793
1,4,3,4,11,29,8,0.25
1,4,3,5,11,27,6,0.1875
1,4,4,1,11,31,6,0.16666666666666666
1,4,4,2,11,29,6,0.17647058823529413
1,4,4,3,11,25,5,0.16129032258064516
1,4,4,4,11,67,8,0.11428571428571428
1,4,4,5,11,24,6,0.20689655172413793
1,4,5,1,11,26,7,0.23333333333333334
1,4,5,2,11,31,7,0.2
1,4,5,3,11,30,9,0.28125
1,4,5,4,11,27,6,0.1875
1,4,5,5,11,29,7,0.21212121212121213
1,4,6,1,11,26,8,0.27586206896551724
1,4,6,2,11,27,7,0.22580645161290322
1,4,6,3,11,35,6,0.15
1,4,6,4,11,29,8,0.25
1,4,6,5,11,24,6,0.20689655172413793
1,4,7,1,11,29,6,0.17647058823529413
1,4,7,2,11,16,6,0.2857142857142857
1,4,7,3,11,66,4,0.0547945205479452
1,4,7,4,11,33,7,0.1891891891891892
1,4,7,5,11,31,6,0.16666666666666666
1,4,8,1,11,29,7,0.21212121212121213
1,4,8,2,11,20,6,0.24
1,4,8,3,11,13,5,0.2631578947368421
1,4,8,4,11,46,7,0.14
1,4,8,5,11,16,8,0.42105263157894735
1,4,9,1,11,13,7,0.4117647058823529
1,4,9,2,11,30,6,0.17142857142857143
1,4,9,3,11,42,6,0.1276595744680851
1,4,9,4,11,17,7,0.3333333333333333
1,4,9,5,11,30,5,0.1388888888888889
1,4,10,1,11,23,6,0.21428571428571427
1,4,10,2,11,19,8,0.36363636363636365
1,4,10,3,11,16,5,0.22727272727272727
1,4,10,4,11,27,9,0.3103448275862069
1,4,10,5,11,26,7,0.23333333333333334
1,5,2,1,16,33,10,0.2564102564102564
1,5,2,2,16,19,11,0.4583333333333333
1,5,2,3,16,28,6,0.15789473684210525
1,5,2,4,16,32,11,0.2972972972972973
1,5,2,5,16,27,10,0.30303030303030304
1,5,3,1,16,36,11,0.2682926829268293
1,5,3,2,16,32,11,0.2972972972972973
1,5,3,3,16,24,8,0.25
1,5,3,4,16,29,8,0.21621621621621623
1,5,3,5,16,27,8,0.22857142857142856
1,5,4,1,16,31,9,0.23684210526315788
1,5,4,2,16,29,9,0.25
1,5,4,3,16,25,8,0.24242424242424243
1,5,4,4,16,67,6,0.07792207792207792
1,5,4,5,16,24,10,0.3333333333333333
1,5,5,1,16,26,10,0.3125
1,5,5,2,16,31,6,0.14634146341463414
1,5,5,3,16,30,11,0.3142857142857143
1,5,5,4,16,27,8,0.22857142857142856
1,5,5,5,16,29,9,0.25
1,5,6,1,16,26,9,0.2727272727272727
1,5,6,2,16,27,10,0.30303030303030304
1,5,6,3,16,35,10,0.24390243902439024
1,5,6,4,16,29,8,0.21621621621621623
1,5,6,5,16,24,7,0.21212121212121213
1,5,7,1,16,29,8,0.21621621621621623
1,5,7,2,16,16,7,0.28
1,5,7,3,16,66,6,0.07894736842105263
1,5,7,4,16,33,11,0.2894736842105263
1,5,7,5,16,31,9,0.23684210526315788
1,5,8,1,16,29,10,0.2857142857142857
1,5,8,2,16,20,9,0.3333333333333333
1,5,8,3,16,13,7,0.3181818181818182
1,5,8,4,16,46,12,0.24
1,5,8,5,16,16,7,0.28
1,5,9,1,16,13,6,0.2608695652173913
1,5,9,2,16,30,9,0.24324324324324326
1,5,9,3,16,42,7,0.13725490196078433
1,5,9,4,16,17,8,0.32
1,5,9,5,16,30,9,0.24324324324324326
1,5,10,1,16,23,9,0.3
1,5,10,2,16,19,7,0.25
1,5,10,3,16,16,6,0.23076923076923078
1,5,10,4,16,27,10,0.30303030303030304
1,5,10,5,16,26,10,0.3125
2,1,2,2,33,19,14,0.3684210526315789
2,1,2,3,33,28,15,0.32608695652173914
2,1,2,4,33,32,16,0.32653061224489793
2,1,2,5,33,27,17,0.3953488372093023
2,1,3,1,33,36,22,0.46808510638297873
2,1,3,2,33,32,20,0.4444444444444444
2,1,3,3,33,24,12,0.26666666666666666
2,1,3,4,33,29,17,0.37777777777777777
2,1,3,5,33,27,16,0.36363636363636365
2,1,4,1,33,31,16,0.3333333333333333
2,1,4,2,33,29,18,0.4090909090909091
2,1,4,3,33,25,14,0.3181818181818182
2,1,4,4,33,67,18,0.21951219512195122
2,1,4,5,33,24,18,0.46153846153846156
2,1,5,1,33,26,18,0.43902439024390244
2,1,5,2,33,31,16,0.3333333333333333
2,1,5,3,33,30,18,0.4
2,1,5,4,33,27,14,0.30434782608695654
2,1,5,5,33,29,14,0.2916666666666667
2,1,6,1,33,26,15,0.3409090909090909
2,1,6,2,33,27,14,0.30434782608695654
2,1,6,3,33,35,18,0.36
2,1,6,4,33,29,18,0.4090909090909091
2,1,6,5,33,24,16,0.3902439024390244
2,1,7,1,33,29,15,0.3191489361702128
2,1,7,2,33,16,12,0.32432432432432434
2,1,7,3,33,66,17,0.2073170731707317
2,1,7,4,33,33,20,0.43478260869565216
2,1,7,5,33,31,19,0.4222222222222222
2,1,8,1,33,29,16,0.34782608695652173
2,1,8,2,33,20,16,0.43243243243243246
2,1,8,3,33,13,10,0.2777777777777778
2,1,8,4,33,46,20,0.3389830508474576
2,1,8,5,33,16,13,0.3611111111111111
2,1,9,1,33,13,11,0.3142857142857143
2,1,9,2,33,30,18,0.4
2,1,9,3,33,42,15,0.25
2,1,9,4,33,17,14,0.3888888888888889
2,1,9,5,33,30,15,0.3125
2,1,10,1,33,23,16,0.4
2,1,10,2,33,19,14,0.3684210526315789
2,1,10,3,33,16,11,0.2894736842105263
2,1,10,4,33,27,16,0.36363636363636365
2,1,10,5,33,26,17,0.40476190476190477
2,2,2,3,19,28,10,0.2702702702702703
2,2,2,4,19,32,11,0.275
2,2,2,5,19,27,11,0.3142857142857143
2,2,3,1,19,36,14,0.34146341463414637
2,2,3,2,19,32,14,0.3783783783783784
2,2,3,3,19,24,9,0.2647058823529412
2,2,3,4,19,29,15,0.45454545454545453
2,2,3,5,19,27,12,0.35294117647058826
2,2,4,1,19,31,11,0.28205128205128205
2,2,4,2,19,29,13,0.37142857142857144
2,2,4,3,19,25,9,0.2571428571428571
2,2,4,4,19,67,10,0.13157894736842105
2,2,4,5,19,24,11,0.34375
2,2,5,1,19,26,13,0.40625
2,2,5,2,19,31,10,0.25
2,2,5,3,19,30,14,0.4
2,2,5,4,19,27,8,0.21052631578947367
2,2,5,5,19,29,11,0.2972972972972973
2,2,6,1,19,26,13,0.40625
2,2,6,2,19,27,11,0.3142857142857143
2,2,6,3,19,35,11,0.2558139534883721
2,2,6,4,19,29,13,0.37142857142857144
2,2,6,5,19,24,10,0.30303030303030304
2,2,7,1,19,29,12,0.3333333333333333
2,2,7,2,19,16,12,0.5217391304347826
2,2,7,3,19,66,9,0.11842105263157894
2,2,7,4,19,33,13,0.3333333333333333
2,2,7,5,19,31,11,0.28205128205128205
2,2,8,1,19,29,10,0.2631578947368421
2,2,8,2,19,20,13,0.5
2,2,8,3,19,13,8,0.3333333333333333
2,2,8,4,19,46,14,0.27450980392156865
2,2,8,5,19,16,11,0.4583333333333333
2,2,9,1,19,13,9,0.391304347826087
2,2,9,2,19,30,13,0.3611111111111111
2,2,9,3,19,42,9,0.17307692307692307
2,2,9,4,19,17,13,0.5652173913043478
2,2,9,5,19,30,11,0.2894736842105263
2,2,10,1,19,23,12,0.4
2,2,10,2,19,19,10,0.35714285714285715
2,2,10,3,19,16,9,0.34615384615384615
2,2,10,4,19,27,13,0.3939393939393939
2,2,10,5,19,26,12,0.36363636363636365
2,3,2,4,28,32,13,0.2765957446808511
2,3,2,5,28,27,15,0.375
2,3,3,1,28,36,18,0.391304347826087
2,3,3,2,28,32,17,0.3953488372093023
2,3,3,3,28,24,14,0.3684210526315789
2,3,3,4,28,29,16,0.3902439024390244
2,3,3,5,28,27,16,0.41025641025641024
2,3,4,1,28,31,14,0.3111111111111111
2,3,4,2,28,29,14,0.32558139534883723
2,3,4,3,28,25,12,0.2926829268292683
2,3,4,4,28,67,19,0.25
2,3,4,5,28,24,15,0.40540540540540543
2,3,5,1,28,26,17,0.4594594594594595
2,3,5,2,28,31,15,0.3409090909090909
2,3,5,3,28,30,14,0.3181818181818182
2,3,5,4,28,27,16,0.41025641025641024
2,3,5,5,28,29,13,0.29545454545454547
2,3,6,1,28,26,17,0.4594594594594595
2,3,6,2,28,27,13,0.30952380952380953
2,3,6,3,28,35,18,0.4
2,3,6,4,28,29,12,0.26666666666666666
2,3,6,5,28,24,17,0.4857142857142857
2,3,7,1,28,29,15,0.35714285714285715
2,3,7,2,28,16,8,0.2222222222222222
2,3,7,3,28,66,18,0.23684210526315788
2,3,7,4,28,33,18,0.4186046511627907
2,3,7,5,28,31,17,0.40476190476190477
2,3,8,1,28,29,16,0.3902439024390244
2,3,8,2,28,20,14,0.4117647058823529
2,3,8,3,28,13,7,0.20588235294117646
2,3,8,4,28,46,17,0.2982456140350877
2,3,8,5,28,16,7,0.1891891891891892
2,3,9,1,28,13,10,0.3225806451612903
2,3,9,2,28,30,16,0.38095238095238093
2,3,9,3,28,42,14,0.25
2,3,9,4,28,17,9,0.25
2,3,9,5,28,30,17,0.4146341463414634
2,3,10,1,28,23,13,0.34210526315789475
2,3,10,2,28,19,9,0.23684210526315788
2,3,10,3,28,16,11,0.3333333333333333
2,3,10,4,28,27,18,0.4864864864864865
2,3,10,5,28,26,16,0.42105263157894735
2,4,2,5,32,27,18,0.43902439024390244
2,4,3,1,32,36,21,0.44680851063829785
2,4,3,2,32,32,16,0.3333333333333333
2,4,3,3,32,24,16,0.4
2,4,3,4,32,29,17,0.38636363636363635
2,4,3,5,32,27,19,0.475
2,4,4,1,32,31,19,0.4318181818181818
2,4,4,2,32,29,15,0.32608695652173914
2,4,4,3,32,25,17,0.425
2,4,4,4,32,67,21,0.2692307692307692
2,4,4,5,32,24,15,0.36585365853658536
2,4,5,1,32,26,18,0.45
2,4,5,2,32,31,15,0.3125
2,4,5,3,32,30,18,0.4090909090909091
2,4,5,4,32,27,17,0.40476190476190477
2,4,5,5,32,29,20,0.4878048780487805
2,4,6,1,32,26,14,0.3181818181818182
2,4,6,2,32,27,16,0.37209302325581395
2,4,6,3,32,35,23,0.5227272727272727
2,4,6,4,32,29,17,0.38636363636363635
2,4,6,5,32,24,15,0.36585365853658536
2,4,7,1,32,29,15,0.32608695652173914
2,4,7,2,32,16,11,0.2972972972972973
2,4,7,3,32,66,19,0.24050632911392406
2,4,7,4,32,33,19,0.41304347826086957
2,4,7,5,32,31,20,0.46511627906976744
2,4,8,1,32,29,16,0.35555555555555557
2,4,8,2,32,20,14,0.3684210526315789
2,4,8,3,32,13,10,0.2857142857142857
2,4,8,4,32,46,22,0.39285714285714285
2,4,8,5,32,16,13,0.37142857142857144
2,4,9,1,32,13,11,0.3235294117647059
2,4,9,2,32,30,16,0.34782608695652173
2,4,9,3,32,42,22,0.4230769230769231
2,4,9,4,32,17,9,0.225
2,4,9,5,32,30,19,0.4418604651162791
2,4,10,1,32,23,14,0.34146341463414637
2,4,10,2,32,19,8,0.18604651162790697
2,4,10,3,32,16,9,0.23076923076923078
2,4,10,4,32,27,18,0.43902439024390244
2,4,10,5,32,26,19,0.48717948717948717
2,5,3,1,27,36,19,0.4318181818181818
2,5,3,2,27,32,18,0.43902439024390244
2,5,3,3,27,24,16,0.45714285714285713
2,5,3,4,27,29,16,0.4
2,5,3,5,27,27,16,0.42105263157894735
2,5,4,1,27,31,14,0.3181818181818182
2,5,4,2,27,29,17,0.4358974358974359
2,5,4,3,27,25,16,0.4444444444444444
2,5,4,4,27,67,18,0.23684210526315788
2,5,4,5,27,24,18,0.5454545454545454
2,5,5,1,27,26,17,0.4722222222222222
2,5,5,2,27,31,15,0.3488372093023256
2,5,5,3,27,30,17,0.425
2,5,5,4,27,27,16,0.42105263157894735
2,5,5,5,27,29,15,0.36585365853658536
2,5,6,1,27,26,15,0.39473684210526316
2,5,6,2,27,27,14,0.35
2,5,6,3,27,35,19,0.4418604651162791
2,5,6,4,27,29,16,0.4
2,5,6,5,27,24,16,0.45714285714285713
2,5,7,1,27,29,15,0.36585365853658536
2,5,7,2,27,16,9,0.2647058823529412
2,5,7,3,27,66,17,0.2236842105263158
2,5,7,4,27,33,17,0.3953488372093023
2,5,7,5,27,31,19,0.48717948717948717
2,5,8,1,27,29,16,0.4
2,5,8,2,27,20,15,0.46875
2,5,8,3,27,13,8,0.25
2,5,8,4,27,46,16,0.2807017543859649
2,5,8,5,27,16,10,0.30303030303030304
2,5,9,1,27,13,9,0.2903225806451613
2,5,9,2,27,30,18,0.46153846153846156
2,5,9,3,27,42,17,0.3269230769230769
2,5,9,4,27,17,9,0.2571428571428571
2,5,9,5,27,30,18,0.46153846153846156
2,5,10,1,27,23,13,0.35135135135135137
2,5,10,2,27,19,6,0.15
2,5,10,3,27,16,12,0.3870967741935484
2,5,10,4,27,27,16,0.42105263157894735
2,5,10,5,27,26,16,0.43243243243243246
3,1,3,2,36,32,19,0.3877551020408163
3,1,3,3,36,24,16,0.36363636363636365
3,1,3,4,36,29,19,0.41304347826086957
3,1,3,5,36,27,18,0.4
3,1,4,1,36,31,20,0.425531914893617
3,1,4,2,36,29,18,0.3829787234042553
3,1,4,3,36,25,18,0.4186046511627907
3,1,4,4,36,67,20,0.24096385542168675
3,1,4,5,36,24,19,0.4634146341463415
3,1,5,1,36,26,19,0.4418604651162791
3,1,5,2,36,31,17,0.34
3,1,5,3,36,30,19,0.40425531914893614
3,1,5,4,36,27,17,0.3695652173913043
3,1,5,5,36,29,18,0.3829787234042553
3,1,6,1,36,26,15,0.3191489361702128
3,1,6,2,36,27,16,0.3404255319148936
3,1,6,3,36,35,22,0.4489795918367347
3,1,6,4,36,29,18,0.3829787234042553
3,1,6,5,36,24,18,0.42857142857142855
3,1,7,1,36,29,18,0.3829787234042553
3,1,7,2,36,16,13,0.3333333333333333
3,1,7,3,36,66,20,0.24390243902439024
3,1,7,4,36,33,22,0.46808510638297873
