l1_ratio,alpha,valid_inner_folds,mean_inner_cindex,sd_inner_cindex,Outer Fold
0.5,0.10219315773607786,3,0.7041296643137369,0.04818230031667293,1
0.9,0.05677397652004325,3,0.7013265335079496,0.04570132914277099,1
0.5,0.06723627380723719,3,0.701107816837529,0.05154471817330026,1
1.0,0.05109657886803893,3,0.7009105450906397,0.04558966029942254,1
0.5,0.04423697843995474,3,0.6972245852561872,0.05432759235178706,1
0.5,0.15532451304502207,3,0.6952017982378794,0.04230545295970538,1
1.0,0.07766225652251103,3,0.6944572892347226,0.03998919106512641,1
0.9,0.08629139613612337,3,0.6938790533134656,0.03963600657415965,1
1.0,0.033618136903618596,3,0.6924570668489896,0.053861139046761056,1
0.9,0.037353485448465104,3,0.692446114430978,0.05377719787549567,1
0.9,0.024576099133308188,3,0.6876418467890778,0.04872693664765594,1
1.0,0.02211848921997737,3,0.6852770351099601,0.04945818423806702,1
0.5,0.029104977874106736,3,0.6829159764396223,0.04551287836852841,1
0.5,0.2360794488313966,3,0.6805558708656222,0.03464434018467835,1
0.9,0.13115524935077588,3,0.6797809513326488,0.031206014217890182,1
1.0,0.1180397244156983,3,0.6796492533304063,0.02875565519762544,1
0.9,0.016169432152281518,3,0.672253142571562,0.04587676656952135,1
1.0,0.014552488937053368,3,0.6705799650591402,0.0458447832601309,1
0.5,0.019149131946298213,3,0.6619719964018618,0.03712191294684967,1
0.9,0.01063840663683234,3,0.6473972543720761,0.03792076604042887,1
1.0,0.009574565973149107,3,0.6449789850959279,0.03750956972305789,1
1.0,0.002726870731623359,3,0.5989385698288846,0.027936854016593654,1
1.0,0.006299425065410617,3,0.5816842854868121,0.06831235203834253,1
1.0,0.0017940988536812982,3,0.5338107207081094,0.0332639537265621,1
0.5,0.06700192261442559,3,0.7015693239224379,0.03687636972459794,2
0.5,0.04408279100396585,3,0.7015499712476333,0.029887436713811322,2
0.9,0.03722329034134754,3,0.6970089822668664,0.034196224870701154,2
0.5,0.10183696476082026,3,0.6966933147412021,0.04182480784351381,2
1.0,0.03350096130721279,3,0.6960550573788736,0.034218837802711795,2
0.9,0.02449043944664769,3,0.6941626176879421,0.031782023895483104,2
1.0,0.022041395501982926,3,0.6929017243075459,0.03283596547835915,2
0.9,0.05657609153378902,3,0.6922733612251543,0.04065937164757226,2
0.5,0.15478313139425806,3,0.6914051909928696,0.040350709015376504,2
1.0,0.05091848238041013,3,0.6905459410997711,0.040226671990258644,2
0.9,0.08599062855236558,3,0.6883234034401244,0.0442089115800486,2
1.0,0.07739156569712903,3,0.6874422350653618,0.04453349319435428,2
0.5,0.029003532837144883,3,0.6865657189993463,0.04574719510061897,2
0.9,0.01611307379841382,3,0.6757867071616186,0.051490106967207655,2
0.5,0.019082387886004394,3,0.6729034479368946,0.05251526111236721,2
0.5,0.235256596860293,3,0.6728222436626679,0.03285003574916508,2
1.0,0.014501766418572442,3,0.6727161500502795,0.05187095092267271,2
0.9,0.13069810936682943,3,0.6698510525122412,0.039433792895706796,2
1.0,0.1176282984301465,3,0.6695630582044966,0.03821979509665525,2
0.9,0.010601326603335771,3,0.6617850570132416,0.0585402723010053,2
0.5,0.012554936996005383,3,0.6603162733793163,0.059110469806555044,2
1.0,0.009541193943002197,3,0.6570761916180922,0.06080396825956346,2
1.0,0.0027173662577372674,3,0.584928121451371,0.08236918662671389,2
1.0,0.0017878455445287484,3,0.5216454325721007,0.0060699232556911484,2
0.5,0.044625510850307235,3,0.7240135398084825,0.02463395964192401,3
0.5,0.029360606255733928,3,0.7207897767889228,0.025086706195578873,3
0.9,0.024791950472392906,3,0.7182580126592328,0.026579804221620235,3
1.0,0.022312755425153617,3,0.7155457137174676,0.02756722504965897,3
0.9,0.01631144791985218,3,0.713959016157364,0.021431320562544376,3
1.0,0.014680303127866964,3,0.7129262298299196,0.021634312273073636,3
0.5,0.06782680852381837,3,0.712154870922789,0.02482777680360039,3
0.5,0.019317318351736185,3,0.7094036158307668,0.020044323074967816,3
1.0,0.03391340426190918,3,0.7067933974744495,0.02483085503782185,3
0.9,0.0376815602910102,3,0.7065858916309828,0.025224801203644762,3
0.9,0.010731843528742324,3,0.7009509322272818,0.021793096601463547,3
0.5,0.10309071799667804,3,0.6993208282911061,0.02813805148228236,3
1.0,0.009658659175868093,3,0.6990596513479139,0.022847338512504686,3
0.9,0.05727262110926557,3,0.6966490693054137,0.030259907687304237,3
1.0,0.05154535899833902,3,0.6963099693184126,0.03142847278404668,3
0.5,0.012709505554894604,3,0.6963073134043191,0.01719355270091304,3
0.5,0.15668872483272642,3,0.6923901874372924,0.02107728845006127,3
0.9,0.08704929157373689,3,0.6908501362804195,0.026193856391627704,3
0.9,0.007060836419385891,3,0.6907661067894524,0.02597375977507283,3
1.0,0.07834436241636321,3,0.6897253370446336,0.02721296876357381,3
0.5,0.00836200597353508,3,0.6824718340016247,0.014350900361513687,3
0.5,0.23815292944702343,3,0.6801536821625594,0.019087250439633746,3
1.0,0.006354752777447302,3,0.6755718220017819,0.011166345620356443,3
0.9,0.13230718302612413,3,0.6734574425516855,0.026419374190613007,3
1.0,0.11907646472351172,3,0.67283864601708,0.027681525112423947,3
1.0,0.0027508207773868903,3,0.5937777209542138,0.049382662814424216,3
1.0,0.00418100298676754,3,0.5835239355970925,0.039722927945641515,3
1.0,0.0018098563845211947,3,0.5516127821816782,0.0712329525187845,3
0.5,0.06962628328564303,3,0.73179769696233,0.026925458243823818,4
0.9,0.038681268492023906,3,0.7264398108464555,0.023686161356744992,4
0.5,0.04580944508304445,3,0.7262166746288395,0.02337188609984905,4
1.0,0.03481314164282152,3,0.7261018986728586,0.02375496001993885,4
0.5,0.10582575963066945,3,0.725068046679875,0.023629713871216852,4
0.9,0.058792088683705244,3,0.7225161865178639,0.01979837464805232,4
1.0,0.052912879815334726,3,0.7219392871446808,0.020248207845890594,4
0.9,0.02544969171280247,3,0.7183765140557071,0.01826060363353539,4
1.0,0.022904722541522225,3,0.7171895569578955,0.01766575204683046,4
0.5,0.03013955592326121,3,0.7149481132968022,0.0279066570816477,4
0.5,0.16084574492456766,3,0.7126135750015411,0.02777271573251494,4
0.9,0.08935874718031536,3,0.7056389672331882,0.023788401065197907,4
1.0,0.08042287246228383,3,0.7045421567203575,0.02333702861723567,4
0.9,0.016744197735145114,3,0.7035511120029825,0.02951611907162017,4
0.5,0.24447123035667098,3,0.7031936702095631,0.025712350373818273,4
1.0,0.015069777961630604,3,0.7012847051709495,0.030563795168549384,4
0.9,0.13581735019815053,3,0.6951159254152137,0.025290233077964037,4
1.0,0.12223561517833549,3,0.6942098922574633,0.026074439234911966,4
0.5,0.01982981521833835,3,0.6940288172356812,0.024673277915571265,4
0.5,0.013046694270965067,3,0.6828295991356175,0.02395977190315627,4
1.0,0.006523347135482534,3,0.6782867045130972,0.04426048961505366,4
0.9,0.011016564010187972,3,0.6725247497195267,0.023356942423402378,4
1.0,0.009914907609169176,3,0.6694925679547693,0.0218297336115855,4
1.0,0.0018578726624112194,3,0.5669324170618052,0.02433935118791472,4
1.0,0.0028238012503140866,3,0.5349177519072948,0.0300375231839248,4
0.5,0.04615783316988218,3,0.7328284134722033,0.05537971695806051,5
0.5,0.07015580219999647,3,0.7326226235002785,0.0545374128266813,5
1.0,0.035077901099998234,3,0.731697166512903,0.05577276529823683,5
0.9,0.03897544566666471,3,0.7314906700234806,0.05536559752150893,5
0.9,0.025643240649934545,3,0.7309156661143325,0.05360097025953951,5
1.0,0.02307891658494109,3,0.729618218045251,0.053741442740599284,5
0.9,0.05923921183179358,3,0.7203820637325021,0.04645164187328744,5
0.5,0.10663058129722844,3,0.7200906649027213,0.041871080431463446,5
1.0,0.05331529064861422,3,0.7193817701230687,0.04574266625846297,5
0.5,0.030368772020666637,3,0.7179571621723646,0.04124120421566509,5
0.9,0.016871540011481466,3,0.7134207740285282,0.03367783246990574,5
1.0,0.015184386010333319,3,0.7129412068678157,0.03396919458490233,5
0.5,0.16206900229537133,3,0.7049801796467016,0.041973827076598184,5
0.9,0.09003833460853962,3,0.7018685128944071,0.04334773491732163,5
1.0,0.08103450114768566,3,0.7016980051790253,0.04294863814281186,5
0.5,0.24633047279185935,3,0.6992113901447237,0.04489340039225068,5
0.5,0.019980624104447727,3,0.6980095702140289,0.03021457892898974,5
0.9,0.13685026266214406,3,0.6945843854929561,0.05491910694540256,5
1.0,0.12316523639592968,3,0.6931483856939256,0.05607118921528836,5
0.9,0.011100346724693183,3,0.6903238446673451,0.032313841529433236,5
1.0,0.009990312052223864,3,0.6900368328800162,0.03258628448246665,5
0.5,0.013145916447710024,3,0.6760010056828785,0.028985713288753143,5
1.0,0.006572958223855012,3,0.6531802034274836,0.04693862244401779,5
1.0,0.0028452767061600045,3,0.5744065202436685,0.041541525208131674,5
1.0,0.0018720020783269153,3,0.5418446186053196,0.028877732839107766,5
