Repeat,Fold,Clinical_1yr,Clinical_3yr,Clinical_5yr,RNA_1yr,RNA_3yr,RNA_5yr,Multi_1yr,Multi_3yr,Multi_5yr,Multi_minus_Clinical_1yr,Multi_minus_RNA_1yr,Multi_minus_Clinical_3yr,Multi_minus_RNA_3yr,Multi_minus_Clinical_5yr,Multi_minus_RNA_5yr
1,1,0.8991790235283491,0.8035110922733164,0.7707376447544932,0.6385650520910315,0.7033085064765636,0.7083949257861415,0.844069382949574,0.8255532527682519,0.8600153110280521,-0.0551096405787751,0.20550433085854247,0.02204216049493546,0.12224474629168824,0.08927766627355882,0.15162038524191057
1,2,0.7615204055934107,0.7404961661383364,0.7962823894128898,0.7374157348216674,0.7251400187291964,0.748599904457343,0.7562289425174586,0.7617105519399381,0.7723232111669154,-0.005291463075952074,0.0188132076957912,0.02121438580160173,0.03657053321074166,-0.023959178245974377,0.023723306709572345
1,3,0.9254057934173548,0.8818543171320882,0.8533682736439174,0.8125812020060627,0.7816062424976367,0.7149087179189182,0.8959325303763587,0.8307773434746245,0.7609539344536129,-0.029473263040996178,0.08335132837029602,-0.051076973657463665,0.04917110097698785,-0.0924143391903045,0.04604521653469473
1,4,0.8559368068553269,0.850822500062787,0.8649011874305275,0.7009758927411086,0.7499993372882385,0.7882299063439127,0.8523665389079783,0.8577397392613504,0.825475283614655,-0.0035702679473486043,0.1513906461668697,0.006917239198563352,0.10774040197311185,-0.03942590381587241,0.0372453772707424
1,5,0.8441178537826809,0.8497400565510731,0.8440866287153248,0.7343934017959304,0.743342896911576,0.8483250268110241,0.7804904214031828,0.7756562117874308,0.7324468714584467,-0.06362743237949808,0.04609701960725243,-0.07408384476364227,0.03231331487585487,-0.11163975725687814,-0.1158781553525774
2,1,0.9083082087416771,0.8967399451018994,0.796690456217416,0.7188614226136198,0.7206284550475428,0.7132692391786253,0.8564636957119175,0.8318211122826581,0.7260195934902283,-0.051844513029759565,0.13760227309829764,-0.06491883281924127,0.11119265723511529,-0.0706708627271877,0.012750354311602985
2,2,0.8360011631465617,0.8038025839549113,0.7912992674665349,0.7240645506058914,0.8266676963134062,0.8359876283029859,0.8596724722286685,0.8733219151059485,0.8882233912319524,0.023671309082106795,0.13560792162277713,0.06951933115103714,0.04665421879254228,0.09692412376541748,0.05223576292896648
2,3,0.8894211696931389,0.8106679958616413,0.8064212676527398,0.7928007157807977,0.822895519279912,0.8579368460220793,0.898539647805683,0.8946587193908131,0.9086521436432845,0.00911847811254407,0.10573893202488527,0.0839907235291718,0.0717632001109011,0.1022308759905447,0.05071529762120519
2,4,0.7674400355765365,0.7267553439358303,0.7992850732198612,0.6748527700932659,0.6313634679404373,0.7095733178123406,0.8118093986024023,0.7312467641768957,0.7905085761326545,0.044369363025865804,0.13695662850913637,0.004491420241065414,0.09988329623645842,-0.008776497087206736,0.0809352583203139
2,5,0.8348641305636337,0.8546997078735529,0.8642250180098419,0.7832614539165998,0.7537663242469338,0.6845410688396287,0.8222647013208076,0.8378275233249673,0.8150676951708211,-0.012599429242826088,0.0390032474042078,-0.016872184548585523,0.08406119907803355,-0.049157322839020745,0.13052662633119239
3,1,0.9043529613881925,0.8701657149962374,0.880558948921051,0.749204131497934,0.7454510204631422,0.7700400024716461,0.8496190223456802,0.8412869251062669,0.8426198218625015,-0.054733939042512336,0.10041489084774624,-0.028878789889970502,0.09583590464312475,-0.037939127058549516,0.07257981939085545
3,2,0.9119900237916126,0.8352672014979563,0.8070554486750576,0.7572169094411486,0.7298783702534534,0.8131829166279548,0.8621776946091196,0.8130789459665243,0.8606299100524516,-0.04981232918249301,0.10496078516797103,-0.022188255531432,0.08320057571307093,0.05357446137739397,0.047446993424496764
3,3,0.9018403834955431,0.853381619473377,0.7674143410202812,0.7100569090373059,0.784966296593082,0.7097656145390503,0.8243665569755961,0.813858306428924,0.7229983768959023,-0.07747382651994694,0.11430964793829024,-0.039523313044453,0.028892009835841947,-0.04441596412437887,0.013232762356852001
3,4,0.8361311992943807,0.8341449742520556,0.9186150575532761,0.6866802008665698,0.7101007940023467,0.7360043459003864,0.8676801007121108,0.8268918065715146,0.828089501404773,0.031548901417730035,0.180999899845541,-0.007253167680540962,0.1167910125691679,-0.0905255561485031,0.09208515550438656
3,5,0.7181012209464163,0.7263406669936042,0.7268543625272451,0.6896026310310194,0.695813063169026,0.7757522462844793,0.6766882510025558,0.7061679199652084,0.740462703659843,-0.041412969943860456,-0.012914380028463568,-0.020172747028395777,0.010354856796182421,0.013608341132597901,-0.03528954262463624
4,1,0.8716304197185196,0.7986043872625832,0.834916148651234,0.6327958421284633,0.6474756904656945,0.7336738440754293,0.7617557865377672,0.7145130391888214,0.8174518073183148,-0.10987463318075241,0.12895994440930392,-0.08409134807376184,0.06703734872312683,-0.017464341332919187,0.08377796324288544
4,2,0.800127744122512,0.8391280985513332,0.8833328046642038,0.7859924789173557,0.7389247909158088,0.7577909451354895,0.85908485776614,0.8428510275203714,0.8618005292834184,0.05895711364362799,0.07309237884878428,0.0037229289690382528,0.10392623660456268,-0.021532275380785393,0.10400958414792894
