Repeat,Fold,AUC_1yr,AUC_3yr,AUC_5yr,Model
1,1,0.8991790235283491,0.8035110922733164,0.7707376447544932,Clinical
1,2,0.7615204055934107,0.7404961661383364,0.7962823894128898,Clinical
1,3,0.9254057934173548,0.8818543171320882,0.8533682736439174,Clinical
1,4,0.8559368068553269,0.850822500062787,0.8649011874305275,Clinical
1,5,0.8441178537826809,0.8497400565510731,0.8440866287153248,Clinical
2,1,0.9083082087416771,0.8967399451018994,0.796690456217416,Clinical
2,2,0.8360011631465617,0.8038025839549113,0.7912992674665349,Clinical
2,3,0.8894211696931389,0.8106679958616413,0.8064212676527398,Clinical
2,4,0.7674400355765365,0.7267553439358303,0.7992850732198612,Clinical
2,5,0.8348641305636337,0.8546997078735529,0.8642250180098419,Clinical
3,1,0.9043529613881925,0.8701657149962374,0.880558948921051,Clinical
3,2,0.9119900237916126,0.8352672014979563,0.8070554486750576,Clinical
3,3,0.9018403834955431,0.853381619473377,0.7674143410202812,Clinical
3,4,0.8361311992943807,0.8341449742520556,0.9186150575532761,Clinical
3,5,0.7181012209464163,0.7263406669936042,0.7268543625272451,Clinical
4,1,0.8716304197185196,0.7986043872625832,0.834916148651234,Clinical
4,2,0.800127744122512,0.8391280985513332,0.8833328046642038,Clinical
4,3,0.8515924053567345,0.7957456143987427,0.7109479357688308,Clinical
4,4,0.8473479705942117,0.7509468240374291,0.7902083068039661,Clinical
4,5,0.9210143517069297,0.9072504076706531,0.8772810958446298,Clinical
5,1,0.8987450436746541,0.9344440960143885,0.8825729035707276,Clinical
5,2,0.9117270902544552,0.8901654343428218,0.8204606974653688,Clinical
5,3,0.8731148162776382,0.8646934223040788,0.8590013962116614,Clinical
5,4,0.8261324969322509,0.7245062326853549,0.7690719204252793,Clinical
5,5,0.7510645743318486,0.7177412300844075,0.8041122639531502,Clinical
6,1,0.8641290325042538,0.8409198797575604,0.8984401223369892,Clinical
6,2,0.8242871005874151,0.7941054316610101,0.7355552740771872,Clinical
6,3,0.8727659850455434,0.7844738983856696,0.7707215213203057,Clinical
6,4,0.8193393772021768,0.8216527536451478,0.8426118759417682,Clinical
6,5,0.8866993047470938,0.8468204954334669,0.7853038953677389,Clinical
7,1,0.8881339696462299,0.825336079615364,0.8686316400047627,Clinical
7,2,0.776969751871085,0.8090206679062297,0.8279500465960647,Clinical
7,3,0.8748812744250314,0.8407583391159441,0.7642096645117751,Clinical
7,4,0.9390571181685846,0.8696426196501558,0.845717819875793,Clinical
7,5,0.8491306302746476,0.7668551508520496,0.7966059354739391,Clinical
8,1,0.9421879535832642,0.8408226692957582,0.8729078994371838,Clinical
8,2,0.8451536378139539,0.8664598761640326,0.8369955080522816,Clinical
8,3,0.7935260837783216,0.7518781580901823,0.8358560825267376,Clinical
8,4,0.8596426486759742,0.8253838049597098,0.7574301901620197,Clinical
8,5,0.8225391859099478,0.8104471041805728,0.8103711730617712,Clinical
9,1,0.8785652584866489,0.8420247938838452,0.8924200385734198,Clinical
9,2,0.7649929905667832,0.8125034127808879,0.7227923942212116,Clinical
9,3,0.8291265211447221,0.7863596077002075,0.7763923779298596,Clinical
9,4,0.8858696447898872,0.8363151798214673,0.8531579003805841,Clinical
9,5,0.9141345800482353,0.839177748782322,0.8476064891952177,Clinical
10,1,0.7500248638749829,0.7615087145168826,0.7636288604743772,Clinical
10,2,0.8300578673334676,0.8721473509651955,0.8461369382317621,Clinical
10,3,0.8218326863320498,0.8198704927406046,0.898327323000113,Clinical
10,4,0.92027791011041,0.8586229692972852,0.8444906979912252,Clinical
10,5,0.9527397778397121,0.7972109177022715,0.7704322533226967,Clinical
1,1,0.6385650520910315,0.7033085064765636,0.7083949257861415,RNA
1,2,0.7374157348216674,0.7251400187291964,0.748599904457343,RNA
1,3,0.8125812020060627,0.7816062424976367,0.7149087179189182,RNA
1,4,0.7009758927411086,0.7499993372882385,0.7882299063439127,RNA
1,5,0.7343934017959304,0.743342896911576,0.8483250268110241,RNA
2,1,0.7188614226136198,0.7206284550475428,0.7132692391786253,RNA
2,2,0.7240645506058914,0.8266676963134062,0.8359876283029859,RNA
2,3,0.7928007157807977,0.822895519279912,0.8579368460220793,RNA
2,4,0.6748527700932659,0.6313634679404373,0.7095733178123406,RNA
2,5,0.7832614539165998,0.7537663242469338,0.6845410688396287,RNA
3,1,0.749204131497934,0.7454510204631422,0.7700400024716461,RNA
3,2,0.7572169094411486,0.7298783702534534,0.8131829166279548,RNA
3,3,0.7100569090373059,0.784966296593082,0.7097656145390503,RNA
3,4,0.6866802008665698,0.7101007940023467,0.7360043459003864,RNA
3,5,0.6896026310310194,0.695813063169026,0.7757522462844793,RNA
4,1,0.6327958421284633,0.6474756904656945,0.7336738440754293,RNA
4,2,0.7859924789173557,0.7389247909158088,0.7577909451354895,RNA
4,3,0.7068736714830834,0.7206271649636994,0.7733711683352178,RNA
4,4,0.7469917558427729,0.7997081611432203,0.8483755170889866,RNA
4,5,0.7696225043184267,0.7828729867120227,0.7324397481187562,RNA
5,1,0.7322199111386745,0.7576353199859024,0.7601184464798403,RNA
5,2,0.7727226471081645,0.7189596890619907,0.6978174805598221,RNA
5,3,0.670787384359098,0.7463027287450418,0.8049772111753378,RNA
5,4,0.7608594964848093,0.670330381070021,0.6775511515138135,RNA
5,5,0.7068458207047066,0.7451449661822984,0.830723945009058,RNA
6,1,0.656466131976044,0.7181187753987506,0.8036657617494194,RNA
6,2,0.797062868221783,0.8006665358220957,0.8002722265994893,RNA
6,3,0.7234302495232079,0.691197700150224,0.74756071787912,RNA
6,4,0.7512306379379674,0.8042765807789245,0.8037231416508479,RNA
6,5,0.772284455327036,0.7516873389452357,0.6675907877080045,RNA
7,1,0.7541651434370035,0.7426320112627169,0.7987511423923611,RNA
7,2,0.7060306527432525,0.7635628683868797,0.7631334725972891,RNA
7,3,0.7357241324389443,0.6078705348436613,0.6620252565909971,RNA
7,4,0.688637006143905,0.7269414516921157,0.7266929951472155,RNA
7,5,0.7228352989501883,0.7874791640940599,0.786810765996459,RNA
8,1,0.7832425878773664,0.7098184543826893,0.7443325115995119,RNA
8,2,0.7966026089492553,0.7198899933666978,0.6969277948776037,RNA
8,3,0.6268762353040314,0.7033384262189787,0.7647164553393299,RNA
8,4,0.7504218258227032,0.7461097702456911,0.7580642826067371,RNA
8,5,0.571980538462788,0.6796042414014121,0.7109244215431308,RNA
9,1,0.6891150149886209,0.6657627247442582,0.747393724628561,RNA
9,2,0.6740816232517243,0.7464013787015529,0.7812674378130937,RNA
9,3,0.7999030975723079,0.8129808171825709,0.7802488789336236,RNA
9,4,0.7405277278703721,0.7322878880381902,0.6723605259984513,RNA
9,5,0.7931505503344732,0.7542119707922605,0.8050944165685865,RNA
10,1,0.6878449085402801,0.6871430249991841,0.8073360816135845,RNA
10,2,0.7374472710058487,0.7490627103336104,0.6938535747921302,RNA
