Fold,Train N,Test N,Test Events,Genes after prevalence filter,Top variable genes,Selected nonzero genes,Best l1_ratio,Best alpha,Inner CV C-index,Outer C-index
1,423,106,32,16193,250,23,0.5,0.10219315773607786,0.7041296643137369,0.7100336053768603
2,423,106,32,16185,250,42,0.5,0.06700192261442559,0.7015693239224379,0.7605206073752712
3,423,106,32,16175,250,56,0.5,0.044625510850307235,0.7240135398084825,0.7054443927408097
4,423,106,32,16176,250,34,0.5,0.06962628328564303,0.73179769696233,0.6451331296377127
5,424,105,31,16193,250,57,0.5,0.04615783316988218,0.7328284134722033,0.674874601003192
