Fold,Clinical,RNA,Clinical + RNA,RNA - Clinical,Multimodal - Clinical,Multimodal - RNA
1,0.843975036005761,0.7100336053768603,0.8065290446471436,-0.13394143062890063,-0.03744599135861737,0.09649543927028326
2,0.8425162689804773,0.7605206073752712,0.8052060737527115,-0.0819956616052061,-0.0373101952277658,0.04468546637744031
3,0.7333643555141927,0.7054443927408097,0.7882736156351792,-0.027919962773382934,0.054909260120986514,0.08282922289436945
4,0.8437363596682671,0.6451331296377127,0.7765168048886949,-0.19860323003055436,-0.0672195547795722,0.13138367525098216
5,0.801641586867305,0.674874601003192,0.7656178750569995,-0.12676698586411306,-0.0360237118103055,0.09074327405380755
