l1_ratio,alpha,valid_inner_folds,mean_inner_cindex,sd_inner_cindex,Outer Fold
1.0,0.03930236997692589,3,0.7765027457083201,0.03451832611169635,1
1.0,0.0597361077142463,3,0.7734120499397794,0.026617514789964762,1
0.9,0.04366929997436211,3,0.7715774267225627,0.03606254325238928,1
0.9,0.06637345301582923,3,0.7673324629103572,0.02818819608339358,1
1.0,0.025858335015603636,3,0.7664285625434705,0.04547724477196509,1
0.9,0.028731483350670713,3,0.7646336070455765,0.04649308719472375,1
0.5,0.05171667003120727,3,0.7531151798718155,0.04528220809721799,1
1.0,0.017013057741091804,3,0.7484152321734637,0.057595215342316756,1
0.5,0.03402611548218361,3,0.7478528191196688,0.053575209892113146,1
0.9,0.01890339749010201,3,0.7471806318838583,0.060039565869687256,1
0.5,0.07860473995385178,3,0.7456323204997825,0.04075023727918353,1
0.5,0.1194722154284926,3,0.7330983172948011,0.032891862141900215,1
0.5,0.02238691188176386,3,0.7287804631772256,0.05983462812601716,1
1.0,0.01119345594088193,3,0.7245861539100215,0.057784793229461076,1
0.9,0.012437173267646592,3,0.7244743813133541,0.0614815056421012,1
1.0,0.09079357216735319,3,0.7112270385698563,0.014520931848682304,1
0.5,0.01472909312449372,3,0.7111097150318605,0.06630617846778909,1
0.9,0.10088174685261465,3,0.7012169586932092,0.017678979735650437,1
1.0,0.00736454656224686,3,0.6843984766917478,0.027704904094789685,1
0.5,0.18158714433470638,3,0.6823926589012279,0.03115116882325413,1
0.9,0.15333128510894126,3,0.6327629378505052,0.052137823111395316,1
1.0,0.13799815659804712,3,0.6316805537047929,0.05114113277671701,1
0.5,0.27599631319609425,3,0.6311913879267831,0.05888234320261802,1
1.0,0.0031879364011387547,3,0.5637644198843179,0.054080193530429414,1
1.0,0.021567834249007347,3,0.7921027909351558,0.02885938648094654,2
0.9,0.02396426027667483,3,0.7888396352663287,0.028255579501076218,2
1.0,0.03278119031035813,3,0.7854804335603314,0.03051937127697035,2
0.9,0.03642354478928681,3,0.784036502907968,0.031056970843843252,2
1.0,0.04982449446510265,3,0.7819246158466949,0.02895850470601329,2
0.9,0.055360549405669604,3,0.7772270047172528,0.032069058665909436,2
1.0,0.01419019473632934,3,0.7747063398511508,0.01929660726773829,2
0.9,0.01576688304036593,3,0.7713297698928372,0.016678951522577496,2
0.5,0.043135668498014694,3,0.7687310878604828,0.019834633527628927,2
0.5,0.02838038947265868,3,0.7624280062001492,0.008655703719237883,2
0.5,0.06556238062071626,3,0.7622603125772324,0.03650725048255126,2
1.0,0.07572880134003662,3,0.7566376931933698,0.0679832688017761,2
0.5,0.0996489889302053,3,0.7490127204036939,0.039182147355808224,2
