Model,Horizon,N evaluations,Mean AUC,SD,Median AUC,Minimum,Maximum
Clinical,AUC_1yr,50,0.8550634489508998,0.05554882441183034,0.8577897277656505,0.7181012209464163,0.9527397778397121
Clinical,AUC_3yr,50,0.8216386750070858,0.049744601163232344,0.8297643896058826,0.7177412300844075,0.9344440960143885
Clinical,AUC_5yr,50,0.8196878952129257,0.05095877195963323,0.8242053720307168,0.7109479357688308,0.9186150575532761
RNA,AUC_1yr,50,0.7283140252141409,0.05353229756938196,0.7350587671174373,0.571980538462788,0.8344353609245829
RNA,AUC_3yr,50,0.7357351122362396,0.0465782835630229,0.7429874540871464,0.6078705348436613,0.8266676963134062
RNA,AUC_5yr,50,0.7561810511124114,0.05022632875206225,0.7579276138711133,0.6620252565909971,0.8579368460220793
Multimodal,AUC_1yr,50,0.8344273330662483,0.05462099135522386,0.8441538636005609,0.6766882510025558,0.9226716245428098
Multimodal,AUC_3yr,50,0.813217291022758,0.05177949057125432,0.817241287774372,0.6731735452034853,0.9077965314825824
Multimodal,AUC_5yr,50,0.8062535524378797,0.056415843232306986,0.8148801198630078,0.6660206991342531,0.9086521436432845
