gene_id,gene_name,gene_type,Selection_Count,Selection_Frequency,Repeats_Selected,Folds_Selected
ENSG00000007062.12,PROM1,protein_coding,1,0.02,1,1
ENSG00000013588.9,GPRC5A,protein_coding,1,0.02,1,1
ENSG00000017483.15,SLC38A5,protein_coding,1,0.02,1,1
ENSG00000079689.14,SCGN,protein_coding,1,0.02,1,1
ENSG00000099834.19,CDHR5,protein_coding,1,0.02,1,1
ENSG00000101197.13,BIRC7,protein_coding,1,0.02,1,1
ENSG00000105825.14,TFPI2,protein_coding,1,0.02,1,1
ENSG00000105877.18,DNAH11,protein_coding,1,0.02,1,1
ENSG00000106236.4,NPTX2,protein_coding,1,0.02,1,1
ENSG00000112299.8,VNN1,protein_coding,1,0.02,1,1
ENSG00000113249.13,HAVCR1,protein_coding,1,0.02,1,1
ENSG00000124107.5,SLPI,protein_coding,1,0.02,1,1
ENSG00000125740.14,FOSB,protein_coding,1,0.02,1,1
ENSG00000127831.11,VIL1,protein_coding,1,0.02,1,1
ENSG00000128285.4,MCHR1,protein_coding,1,0.02,1,1
ENSG00000135220.11,UGT2A3,protein_coding,1,0.02,1,1
ENSG00000137673.9,MMP7,protein_coding,1,0.02,1,1
ENSG00000138207.14,RBP4,protein_coding,1,0.02,1,1
ENSG00000142102.16,PGGHG,protein_coding,1,0.02,1,1
ENSG00000144908.14,ALDH1L1,protein_coding,1,0.02,1,1
ENSG00000145721.12,LIX1,protein_coding,1,0.02,1,1
ENSG00000145824.13,CXCL14,protein_coding,1,0.02,1,1
ENSG00000146678.10,IGFBP1,protein_coding,1,0.02,1,1
ENSG00000148488.17,ST8SIA6,protein_coding,1,0.02,1,1
ENSG00000148584.15,A1CF,protein_coding,1,0.02,1,1
ENSG00000152207.7,CYSLTR2,protein_coding,1,0.02,1,1
ENSG00000154025.16,SLC5A10,protein_coding,1,0.02,1,1
ENSG00000154277.13,UCHL1,protein_coding,1,0.02,1,1
ENSG00000157765.13,SLC34A2,protein_coding,1,0.02,1,1
ENSG00000160862.13,AZGP1,protein_coding,1,0.02,1,1
ENSG00000162551.14,ALPL,protein_coding,1,0.02,1,1
ENSG00000167748.11,KLK1,protein_coding,1,0.02,1,1
ENSG00000168065.16,SLC22A11,protein_coding,1,0.02,1,1
