Top K,Mean_Multimodal_Cindex,Mean_Clinical_Cindex,Mean_Difference,SD_Difference,Multimodal beats Clinical,Total evaluations,Win proportion
100,0.7983672996159288,0.8120059057614814,-0.013638606145552491,0.03571982640888713,16,50,0.32
250,0.798910475402079,0.8120059057614814,-0.013095430359402109,0.03438368874230872,15,50,0.3
500,0.7978288976868708,0.8120059057614814,-0.01417700807461044,0.03683049245136227,17,50,0.34
